NO EXTRA GAME DATA https://www.baseball-reference.com/boxes/ARI/ARI202204080.shtml <h3>Friday, April 8, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SFN/SFN202209170.shtml <h3>Saturday, September 17, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SLN/SLN202209171.shtml <h3>Saturday, September 17, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SLN/SLN202209171.shtml <h3>Saturday, September 17, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/TBA/TBA202209170.shtml <h3>Saturday, September 17, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/TOR/TOR202209170.shtml <h3>Saturday, September 17, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/WAS/WAS202209170.shtml <h3>Saturday, September 17, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/BOS/BOS202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/CHA/CHA202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/CIN/CIN202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/CLE/CLE202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/HOU/HOU202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/LAN/LAN202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/MIA/MIA202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/MIL/MIL202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/NYN/NYN202210041.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/NYN/NYN202210041.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/OAK/OAK202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/PIT/PIT202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SDN/SDN202210040.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SEA/SEA202210041.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SEA/SEA202210041.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/TEX/TEX202210041.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/TEX/TEX202210041.shtml <h3>Tuesday, October 4, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/CLE/CLE202210070.shtml <h3>Friday, October 7, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/NYN/NYN202210070.shtml <h3>Friday, October 7, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SLN/SLN202210070.shtml <h3>Friday, October 7, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/TOR/TOR202210070.shtml <h3>Friday, October 7, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/CLE/CLE202210080.shtml <h3>Saturday, October 8, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/NYN/NYN202210080.shtml <h3>Saturday, October 8, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SLN/SLN202210080.shtml <h3>Saturday, October 8, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/TOR/TOR202210080.shtml <h3>Saturday, October 8, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/NYN/NYN202210090.shtml <h3>Sunday, October 9, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/HOU/HOU202210110.shtml <h3>Tuesday, October 11, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/HOU/HOU202210130.shtml <h3>Thursday, October 13, 2022</h3>
ERR Visitor Batting Totoals - https://www.baseball-reference.com/boxes/SEA/SEA202210150.shtml <h3>Saturday, October 15, 2022</h3>
